fen,uci,comment
3q1r2/QBpn3k/3pb2p/5p2/4p3/7P/1R3PP1/2R3K1 b - - 0 28,d7e5,At last the knight gets to e5. I think it should have gone there a few moves ago.
3q1r2/Q1p4k/B2pb2p/4np2/4p3/7P/1R3PP1/2R3K1 b - - 2 29,f8f7,to protect c7.
3q4/Q4R1k/B2pb2p/2p1np2/4p3/7P/5PP1/2R3K1 b - - 0 31,e5f7,Unsure as to which piece should have taken this rook.
3q4/Q4n1k/B2pb2p/2p2p2/4p3/7P/5PP1/1R4K1 b - - 1 32,d8g8,I thought that now my position looked pretty solid.
6q1/QR3n1k/B2pb2p/2p2p2/4p3/7P/5PP1/6K1 b - - 3 33,h7g6,Allows the knight to move.
6q1/QR3n2/3pb1kp/2p2p2/4p3/7P/4BPP1/6K1 b - - 5 34,e6d5,At this point white was in serious time trouble. I think he/she should have played Rb7-b8.
6q1/QR3n2/3p2kp/2pb1p2/4p3/7P/4BPP1/6K1 w - - 6 35,a7a1,terrible mistake.White is lost Probably cost white the game.
6q1/8/3p2kp/2pb1pn1/4p3/6QP/4BPP1/6K1 b - - 5 38,g8a8,"Bad move, the knight is trapped. I was now in time trouble."
8/8/4bk2/2Q2pp1/4p3/8/4BPPK/q7 b - - 0 43,a1e5,"Her majesty comes to save the day, just in a nick of time."
8/8/8/4k3/5p2/4pP2/4K3/8 b - - 2 55,e5d4,"Here white resigns. The end game was pretty ragged due to both players suffering from time trouble. I'm more concerned with my middle game, like how my position got so cramped and my failure to launch a kside attack."
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,d2d4,"This is my usual opening, hoping my opponent takes the pawn, which I take back with Nxd4. If he takes my Knight with his Knight, I take back with my Queen. If he doesnt take my Knight and if his Knight is still stagnent, I take with my Knight."
r1bqkbnr/ppp2ppp/2np4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,d4d5,"Forcing his Knight to flee. Bracco: Didn't you see 4.dxe5(!)? It looks better than closing the position, bacause of 4...dxe5 (or Nxe5, 5. Nxe5 dxe5 6. Qxd8) 5. Qxd8 Kxd8 and Black at least lost castling, not to mention that he can loose a pawn if takes back the Queen with the Knight"
r1bqkbnr/ppp1nppp/3p4/3Pp3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 5,c2c4,"My usual move would be Be2. But in this case, I decided to have a queenside pawn storm. Bracco: Strategically correct decision. White must play on the Queenside because of his choice to advance the ""d"" pawn at move 4. Nimzowitsch teaches that one must play in the direction showed by his most advanced pawn in a chain"
r1bqkbnr/ppp1nppp/3p4/3Pp3/2P1P3/5N2/PP3PPP/RNBQKB1R b KQkq - 0 5,f7f5,"He/She, on the other hand, is going for kingside pawn storm. Bracco: Black plays also the very correct plan. In this position the ""F"" pawn advance looks stronger than White's ""C"" because is faster and because White cannot enforce his central ""e4"" pawn with f3. Black can complete development and increase his pressure in e4-d5 in several ways. For example: 6. Nc3 Nf6 7.Bd3 g6 followed by Bg7, O-O and c6!, challenging white in the center. This game looks like a King Indian with a big improvement for Black: the f5 push has been played before Nf6."
r1bqkbnr/ppp1n1pp/3p4/3Ppp2/2P1P3/5N2/PP3PPP/RNBQKB1R w KQkq - 0 6,f1d3,"To protect my e4 pawn. Should I have taken the f5 pawn? But that would have left me with holes in my pawn structure. Bracco: I would have preferred Nc3, because in case of Black's change in e4, a Knight is stronger than a Bishop in the square ""e4"". I don't think that White's capture in f5 is a good idea, for the simple reason that Black develops his light-squared Bishop for free!"
r1bqkbnr/ppp1n1pp/3p4/3Ppp2/2P1P3/3B1N2/PP3PPP/RNBQK2R b KQkq - 1 6,f5f4,He's closing my Kingside Bracco: Black has just played a serious mistake. There's no reason to close immediately the center. To increase the central pressure with Nf6 was the correct choice
r1bqkbnr/ppp1n1pp/3p4/3Pp3/2P1Pp2/3B1N2/PP3PPP/RNBQK2R w KQkq - 0 7,e1g1,"Stupid move to castle on the kingside since he/she has already made a kingside pawn storm. Bracco: You are right! Playing this move justifies the Black advance in f4! There was no hurry to castle any side. You should complete development before take such an important decision! In this position castling is a delicate matter on both sides: on the Quenside you are already storming and thus weakening your pawn structure, on the Kingside you are under the fire of a pawn storm. Nc3 was once more the correct move."
r1bqkb1r/ppp1n1pp/3p1n2/3Pp3/2P1Pp2/3B1N2/PP3PPP/RNBQ1RK1 w kq - 2 8,b2b4,"Hoping to create some counterplay on the queen side since my kingside is blocked. Bracco: The center is blocked, and both sides has to create some threats. As mentioned before, White must play on the Quuenside, but the development has still to be completed! Nc3 becomes urgent."
r1bqkb1r/pp2n1pp/2pp1n2/3Pp3/1PP1Pp2/3B1N2/P4PPP/RNBQ1RK1 w kq - 0 9,a2a3,"This is just in case if the c6 pawn advances to c5 Bracco: A waste of time. Why Black should play c5 wasting two moves? And in case Black was a little bit silly, why White must defend his b4 pawn? Had Black played c5, White had to capture with bxc5, creating a passed and defended pawn in d5! Needless to say, Nc3 was better."
r1bqkb1r/pp2n1pp/3p1n2/3Pp3/1P2Pp2/P2B1N2/5PPP/RNBQ1RK1 b kq - 0 10,a7a6,Looks mysterious to me. It should be a waste of time.
r2qkb1r/1p1bn1pp/p2p1n2/3Pp3/1P2Pp2/P1NB1N2/5PPP/R1BQ1RK1 w kq - 2 12,g1h1,"This is so that I can advance my g pawn to break his pawn structure. Is this a dumb plan? Bracco: Sorry, it is. At least, is incoerent with your actions on the queenside. Opening in any way the King side makes easier the Black's task of attacking your King. Remember, any opened line towards the target is a gift for the attacker."
r2qkb1r/1p1bn1pp/p2p4/3Pp3/1P2Ppn1/P1NB1N2/5PPP/R1BQ1R1K w kq - 4 13,f3g1,I had no choice but to try and advance my g and f pawns to ease the building pressure on my kingside.
r2qkb1r/1p1bn1pp/p2p4/3Pp3/1P2Ppn1/P1NB4/5PPP/R1BQ1RNK b kq - 5 13,g4f2,"Completely senseless! Why to throw away such a noisy Knight? One should sacrifices his pieces only if has chances to crush the enemy position, or at least create him some difficulties. This is not the case."
r2qkb1r/1p1bn1pp/p2p4/3Pp3/1P2Pp2/P1NB4/5RPP/R1BQ2NK b kq - 0 14,h7h5,"Black is ambitious, but he hasn't enough pieces after his pawns to use for the attack. g5 followed by Ng6, g4 and Qh4 seems more effective."
r2qkb1r/1p1bn3/p2p4/3Pp1pp/1P2Pp2/P1NB4/4NRPP/R1BQ3K w kq - 0 16,g2g3,"Trying to break the pawn chain. Bracco: The best policy when dealing with an upcoming attack is to keep the pawns on the second row as long as possible. If you push your Castling pawns, the only benefit is for Black, to put your pawns easier in touch with the black one's."
r2qkbr1/1p1bn3/p2p4/3Pp1pp/1P2PP2/P1NB4/4NR1P/R1BQ3K b q - 0 17,g5f4,"Only to create a big hole in the middle! Bracco: The only big hole you created is the ""g"" column opened for the Black Rook :-) Read my previous comment."
r2qkbr1/1p1bn3/p2p4/3Pp2p/1P2Pp2/P1NB4/4NR1P/R1BQ3K w q - 0 18,e2f4,"Desperate attempt to ease the building pressure on my kingside. If he/ she takes the Knight, I'll take the pawn with my Bishop Bracco: I would have preferred Bxf4, because the Bishop was still at home and because a Knight looks more powerful than a Bishop in f4 (controls g6 and e6)"
r2qkbr1/1p1bn3/p2p4/3Pp2p/1P2PN2/P1NB4/5R1P/R1BQ3K b q - 0 18,e5f4,The intermediate Bg4 was the correct move!
r2qkbr1/1p1bn3/p2p4/3P3p/1P2Pp2/P1NB4/5R1P/R1BQ3K w q - 0 19,c1f4,"How about Qxh5 check? Black is forced to play Ng6, and now e5! is a Nightmare for him! (Kf7? e6 ch. +-)"
r3kbr1/1p2n3/pq1p4/3P3p/1P2PBb1/P1N5/4BR1P/R2Q3K w q - 3 21,f2f1,"Or would Qf1 be a better move since I would have control of the g1 square? Bracco:You are a pawn up and you are under fire, any piece trade is favorable for you Rg2! was OK, the threat now is Bxg4. trading off at least the noisy Bishop and walking toward an endgame with a pawn more! If one is defending himself from an attack, a good idea is trading off the enemy pieces. The rook in g2, once the Bishop has moved, force Black to take a decision about the ""G"" column: trade off the Rooks too, or release the column? In both cases White is happy!"
2r1kb2/1p2n3/pq1p4/3P3p/1P2PBr1/P1N5/7P/R2Q1R1K w - - 0 23,a1c1,To guard my Knight Bracco: The least you can do ! :-)
2r1kb2/1p6/pq1p2n1/3P3p/1P2PBr1/P1N5/7P/2RQ1R1K w - - 2 24,d1d2,To connect the Rooks and give extra protection to the Knight
2r1k3/1p4b1/pq1p2n1/3P3p/NP2PBr1/P7/3Q3P/2R2R1K b - - 5 25,b6b5,Why to give away an exchange? Qd8 was less painful.
2R5/1p1k2b1/p2p2n1/1q1P3p/NP2PBr1/P7/3Q3P/5R1K w - - 1 27,c8g8,"Pinning the Bishop and Knight but I never saw Qxf1# coming. Bracco: The final blunder in a winning position. After Rfc1 is hard to advice Black in any way! The threat is R1c7 checkmate. Black can avoid it only playing Ke7, But with Nb2 White is a Rook up. Kenneth, I hope these comments will be helpful for improving your play."
6R1/1p1k2b1/p2p2n1/1q1P3p/NP2PBr1/P7/3Q3P/5R1K b - - 2 27,b5f1,Copyright freechess.org ***** Use this file for personal use only.
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PPQ1PPPP/R1B1KBNR b KQkq - 3 4,c7c5,"The Nimzo-Indian Defense. Kabu: Yes, Capablanca variation"
rnbqk2r/pp1p1ppp/4pn2/2P5/1bP5/2N5/PPQ1PPPP/R1B1KBNR b KQkq - 0 5,b4c5,"I wasn't sure that this was the right way to continue for white. It should have a disadvantage somewhere but I can't seem to know the proper line. I thought of continuing as such cause it is the logical coninuation. There may be a better move such as Qa5 but I was not so sure with the benefits of this move. Kabu: The most played and elastic continuation here is 5. ...0-0 ,black usually take the pawn c5 with bishop only after 6. a3 earning a time. In case of 6. Bf4 (the other main line) black can play 6. . .. Na6 with the idea to take c5 with the knight. 5. ...Qa5 is a minor variation, which doesn't procure white any problems (6.Ad2). Certainly your move 5. ... Bxc5 is playable,obviously it's not a mistake :)"
rnbq1rk1/pp1p1ppp/4pn2/2b5/2P5/2N2N2/PPQ1PPPP/R1B1KB1R w KQ - 2 7,g2g3,"A quiet continuation,more played 7.Bg5 or 7.Bf4"
rnbq1rk1/pp1p1ppp/4pn2/2b5/2P5/2N2NP1/PPQ1PP1P/R1B1KB1R b KQ - 0 7,d8a5,I play it anyway to pin the night although white can always play Bd2. I love to do a finachetto at b7 but white can attack my rook by removing his knight at f3. Kabu: More naturals continuation are 7. ...d5 or 7. ...Nc6
rnb2rk1/pp3ppp/4p3/q1b5/8/2B2NP1/PPQ1PPBP/R3K2R b KQ - 0 11,a5b6,"If you play 7. ...Qa5 and then 11.Qb6 I must consider yours a dobious plan,in fact you lost a tempo(Qd8-a5-b6) and white pieces (Bc3 is very strong) are more actives than black pieces which are not completely developed (Bc8,Nb8).So we can attribute white better play. Obligatory here was 11. Bb4 with approximate equality."
r1b1r1k1/pp3ppp/1qn1p3/2b3N1/8/2B3P1/PPQ1PPBP/3R1RK1 b - - 6 14,g7g6,I need to weaken my pawn structure to prevent Qxh7+
r1b1r1k1/pp3p1p/1qn1p1p1/2b3N1/8/2B3P1/PPQ1PPBP/3R1RK1 w - - 0 15,c2e4,"Good move,also good 15.Ne4,white has clear advantage,black castle is weak and white has initiative."
r1b1r1k1/pp3p1p/1qn1p1p1/2b3N1/4Q3/2B3P1/PP2PPBP/3R1RK1 b - - 1 15,c5e7,"A mistake,but it's hard defend the king,maybe the only move is 15. ...e5 16.Qh4 h5 17.Bd5 Nd8 18.Qa4! Rf8 Ne4 and white has a good advantage. But white don't see the better continuation and play..."
r1b1r1k1/pp2bp1p/1qn1p1p1/6N1/4Q3/2B3P1/PP2PPBP/3R1RK1 w - - 2 16,e4h4,Here was critical 16.Nxf7! with the continuation 16. ...Kxf7 17. Qf4+ Kg8 18.Bxc6 Qxc6 19.Qe5 Bf6 20.Qxf6 e5 21. Qxc6 bxc6 22.Rd6 with probably victory for white. White's move maintain whatever the positional advantage.
r1b1r1k1/pp2bp1p/1qn1p1p1/6N1/7Q/2B3P1/PP2PPBP/3R1RK1 b - - 3 16,e7g5,"Allowing white to have the two Bishop advantage but I need to neutralize his night from the threat of Qxh7+ Kabu: The correct decision,weaken your position with 16. ...h5 should have only delayed the exchange of dark square bishops after 17.Qf4 Rf8 18.Ne4"
r1b1r1k1/pp3p1p/1qn1p1p1/6Q1/8/2B3P1/PP2PPBP/3R1RK1 b - - 0 17,e6e5,This shortens the coverage of white's c3 Bishop. But an oversight on my part as I lose this pawn on the following moves
r1b1r1k1/pp3p1p/1qB3p1/4p1Q1/8/2B3P1/PP2PP1P/3R1RK1 b - - 0 18,b7c6,"This weakens my pawn structure but allows the Bishop to go to a6 anytime. I realized that I will lose my e5 pawn. Kabu: A mistake!The natural 18. ...Qxc6 is better,probably you have not considered that white can't take pawn e5 for 19. ...Bh3! 20.f3 Qc5+ and black wins!"
r1b1r1k1/p4p1p/1qp3p1/4B1Q1/8/6P1/PP2PP1P/3R1RK1 b - - 0 19,b6c5,the correct move is here 19. ...Qa5! attacking bishop and defending d8 and black can continue to play.
r1b1r1k1/p4p1p/2p3p1/2q1B1Q1/8/6P1/PP2PP1P/3R1RK1 w - - 1 20,e5f6,"losi ng a win game!White lost the oportunity to close the game with 20. Rd8! pinning the rook in the eight cross,and if 20. ... Bb7 21.Rfd1! with the decisive threat Qf6"
r1b1r1k1/p4p1p/2p2Bp1/2q3Q1/8/6P1/PP2PP1P/3R1RK1 b - - 2 20,c5g5,"I need to exchange queens to cool off his attack. Kabu: the correct decision,now black can take a breath."
r1b1r1k1/p4p1p/2p3p1/6B1/8/6P1/PP2PP1P/3R1RK1 b - - 0 21,e8e2,I get back the pawn I lost at e5
r1b3k1/p4p1p/2pR2p1/6B1/8/6P1/PP2rP1P/5RK1 b - - 1 22,e2b2,"A blu nder!Both players don't see now 23.Bf6 which wins the rook and the game(probably players are in zeitnot now,I don't know :) )"
r1b3k1/p4p1p/2pR2pB/8/8/6P1/Pr3P1P/5RK1 b - - 1 23,c8b7,"Need to prevent mate at d8 as well as defend the c6 pawn Kabu: Here I think you must play more active!For example 23.Bh3 maintaing the control of d7 which is more important that pawn c6,in those position with opposed square bishop and castle weak is very important control eight and seven crosses and try to penetrate those of your opponent."
r5k1/pb3p1p/2pR2pB/8/8/6P1/Pr3P1P/4R1K1 b - - 3 24,c6c5,"I would like to save this pawn so I move it away. The threat of Re7 is there. Kabu: ok for this move,but the strategical motiv of why you move it must be for active your bishop!!This is more important that savethepawn!"
r5k1/pb3p1p/3R2pB/2p5/8/6P1/Pr3P1P/3R2K1 b - - 1 25,f7f5,"very riskious move.Now you open access to white towers in seven cross,probably better 25.Re8 with a playable position for both players,probably with equal chanches."
r5k1/p2R3p/6pB/2p2p2/6P1/5b2/r4P1P/4R1K1 b - - 0 28,f5g4,I could not understand why white is giving these pawns up. I decided to take the gambit. Kabu: white's idea is interesting but not correct. ..he want to make a way out for his king to avoid the mate Ra1+ Kh2 and Rh1 to play Ree7 . The first take of pawn is good because white can't move still the rook
r5k1/p2R3p/6pB/2p5/6pP/5b2/r4P2/4R1K1 b - h3 0 29,g4h3,"this was the topical moment of the game,with this move you loss a win game!now king can escape to h2-g3 an white can play... The correct and winning move is 29. Re2! and you win!"
r5k1/p2R3p/6pB/2p5/8/5b1p/r4P2/4R1K1 w - - 0 30,e1e7,"and whit e now wins in a few moves...Here you can comprend my previous suggestiob,in this positions is more important control the security of your king than go to take pawns!"
r5k1/p2RR2p/6pB/2p5/8/5b1p/r4P2/6K1 b - - 1 30,a2a1,I knew that white has a mating attack but I was more concerned with getting him into check and worrying on that later. I thought that he may be able to check me but he may not be able to mate me without allowing me a move. Anyway I figure I can no longer defend againsthisattack
r3k3/p2R3R/2b3pB/2p5/8/6Kp/5P2/7r w - - 1 35,h7e7,"A game with some mistakes but very interesting!Sorry for my english,I hope you understand it :)"
r2qr1k1/1p1nbppp/p2pbn2/P3p3/4P3/1NN1B3/1PPQBPPP/R4RK1 b - - 0 12,e7f8,"According to theorie it is bad in this variation to allow Nd5 generally, but I absolutly did not proof this! Do you see a way to proof this ?"
r2qrbk1/1p1n1ppp/p2pbn2/P3p3/4P3/1NN1BP2/1PPQB1PP/R4RK1 b - - 0 13,h7h6,"According to my database, absolutly nobody played this idea before."
r2qrbk1/1p1n1pp1/p2pbn1p/P3p3/4P3/1NN1BP2/1PPQB1PP/R4RK1 w - - 0 14,c3d5,It was maybe better to make some other useful moves before playing Nd5 . What do you suggest?
6rk/1p4r1/p2B3p/P2Pp3/1P3p2/3R1PQq/3R3P/7K b - - 0 38,h3f1,"I do not really know, where my mistake was in the game."
rnbqkbnr/pp2pppp/3p4/2p5/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,c5d4,"Gallagher recommends Nf6, stating that if black exchanges on d4 there isn't much point to the d6 variation, because white achieves an opening plus. His example variation follows your game up to 5. Nc3, stating that white now protects his e4 pawn with the knight instead of less desirable schemes like f3 or Bd3."
r1bqkb1r/pp2pppp/2np1n2/8/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 4 6,c8g4,"Both sides are making moves to fight for the center while developing and increasing the power of their minor pieces. Black's dark bishop will take a couple of moves to get to a useful square, probably via fianchetto, but the pin on white's knight helps to partially counterbalance this."
r2qkb1r/pp2pppp/2np1n2/8/3PP1b1/2N2N2/PP2BPPP/R1BQK2R b KQkq - 6 7,e7e5,"Taking stock of all the imbalances: For minor pieces, all the pieces are exerting about the same influence (knights have control of 6 or 7, bishops have control of 4 or 5) with the exception of black's dark bishop, which only has both scope and control of 3. As a result, white is currently winning the minor piece imbalance. For pawn structure, up until now, neither side has had any potential weaknesses. Black's advance of e5 creates a potential backward pawn on d6. It's shielded (by the d4 pawn) but since the hole on d5 was black's big problem later in the game, this may not be the best move. For space (I use the Yasser Seirawan technique of ""count the squares in enemy territory you control, rather than overall squares""), both sides control 1 kingside. White has one central square and 2 queenside squares (compared to black having no central squares and 1 queenside square), so white is equal or ahead in space on all sides of the board. Material is equal. For important squares/files/etc, white has more of the center, and neither side seems to be vying for control of much else (the c file is open but currently uncontested), so white is a bit ahead here. For development, black is more developed on the kingside with respect to pieces that have moved, but white's dark bishop is influencing this sector without having moved, so I would consider this imbalance fairly equalized. Black may be considered to have temporary dynamic initiative due to the threat against d4 that e5 created."
r2qkb1r/pp3ppp/2np1n2/4p3/3PP3/2N2B2/PP3PPP/R1BQ1RK1 b kq - 0 9,c6d4,"I play Black here. My provisional Standard rating going in was 1745, My opponent's was 1702. Time control was 45 5. OS : For most of the game, white was playing with most of the imbalances in his favor. Now, black has a point of extra material to play with. This comes at a structural cost in that the d6 pawn really IS backward now, since d4 is no longer a shielding pawn. Black's dark bishop is not yet solved, but he has a very nice knight on d4. The potential of this knight is dynamic rather than static, since white can exchange off for a knight or bishop quite easily. Ironically, the d4 knight is no longer actually controlling any queenside space, despite being farther advanced and being able to reach more squares in enemy territory. Both sides have about equal claim to the center at the moment, although black is making better use of it. White has a spatial edge on both kingside and queenside. Black may want to consider bringing a rook in to the fray with Rc8, partly because the d4 knight is helping to control this file, and black needs to do something to fight back against white's queenside edge while it's still small enough to contest."
r2qk2r/pp2bppp/3p1n2/4p3/3nP3/2N1BB2/PP3PPP/R2Q1RK1 b kq - 3 11,d4f3,"White had the option of Bxf6 and then placing his knight on to d5 where it would have an essentially uncontestable outpost. However, this would also cede d4 to black's knight, so he decided to come back to e3 to exchange. White was ill advised to embark on the one plan and then change his mind in that this involved loss of tempo. Black's difficulty here is that his backward d6 pawn is now exposed on a half-open file, presenting a target to white."
r2qk2r/pp2bppp/3p1n2/4p3/4P3/2N1BQ2/PP3PPP/R4RK1 b kq - 0 12,e8g8,"My plans now involve grabbing the open c file and playing for ...d5 if I can make it practical. OS: White's knight is quite a powerful piece. If white exchanges off his dark bishop to knock black's f6 knight away (whether it's exchanged or simply moves, it loses control of d5), then he gets d5 as a post. If the f6 knight doesn't move, this post is permanent. If it does move, it will have to concede further pawn structural weaknesses later to get rid of the d5 knight, which results in more targets for white."
r2q1rk1/pp2bppp/3p1n2/4p3/4P3/2N1BQ2/PP3PPP/3R1RK1 b - - 2 13,a7a6,I prefer Bg5 immediately for white
r2q1rk1/1p2bppp/p2p1n2/4p3/4P3/4BQ2/PP2NPPP/3R1RK1 b - - 1 14,d8a5,Connects the Rooks with an attack on a2 while maintaining watch on d5. OS: I don't understand where the white knight thinks it's going. It did much more valuable duty threatening to use the d5 post after Bg5/Bxf6 or Bg5/Bxe7.
r4rk1/1p2bppp/p2p1n2/q3p3/4P3/P3BQ2/1P2NPPP/3R1RK1 b - - 0 15,a8c8,Earlier you said you wanted to fight to advance d5. This is a good plan. Your rook may be better placed on d8 rather than c8 to fight to achieve this. It's doubly important to be able to do d5 to finally give your dark bishop some scope.
2r2rk1/1p2bppp/p2p1n2/q3p3/4P3/P3BQ2/1P2NPPP/3R1RK1 w - - 1 16,d1d2,"He's planning to double on the d file, meaning I will have to maintain defense of the pawn where it stands in addition to any thought of playing ... d5 OS : This is also part of why he should have left his knight alone on c3, because it helps his d file control and targeting your d6. Redirecting to f5 (which is what I assume he's trying for) doesn't help this, and doesn't coordinate his pieces."
2rr2k1/1p2bppp/p2p1n2/q3p3/4P3/P3BQ2/1P1RNPPP/5RK1 w - - 3 17,f1d1,"Here is where I spent a lot of time trying to get my head around the possibility of 17 ...d5. Certainly it would be attacked more times than it is defended, but I spend a long time looking for a way to take advantage of the fact that the d1 Rook must stay on the home rank or I can play ...Qe1#. In the end I decide that I can't make anything work. Used up a lot of clock doing this though and had to play the endgame like it was a blitz game, which may have contributed to my demise there. OS: Based on your d1-is-stuck observation, how about d5 followed by e4 when his pawn captures, thus sealing his queen out and allowing you to safely recapture? I looked to see if there's any way he can dangerously redirect his queen and I couldn't see any. It's possible that your e4 pawn may fall from being so far advanced, but it's an extra pawn and your dark bishop really needs to start doing something so I'd willingly give the extra material back as black, if I had to."
2rr2k1/1p2bppp/p2p1n2/q3p3/4P3/P3BQ2/1P1RNPPP/3R2K1 b - - 4 17,c8c4,"I'm wondering if this was wise, as it forces the Knight back to c3 where it again defends d5."
3r2k1/1p2bppp/p2p1n2/q3p3/2r1P3/P1N1BQ2/1P1R1PPP/3R2K1 b - - 6 18,c4c7,"Based on your having already penetrated a rook down the c file, you may want to bring the other rook to c8. You may want to take a move to prepare this with h6, to rule out Bg5 stuff, and make it harder for him to effectively use d5. Don't forget that the pawn you're fighting to preserve is an extra pawn, and the one extra point of material it gives you isn't worth sacrificing all your other possibilities for. If he ever does grab on d6, the good part is that your dark bishop is no longer a concern."
3r2k1/1pr1bppp/p2p1n2/q3p3/4P3/P1N1BQ2/1P1R1PPP/3R2K1 w - - 7 19,d1a1,"I don't know what he saw here. OS : he sees that he can support b4, gaining space and attacking your queen, if his knight either goes to d5 or stops being attacked by your rook. His lack of interest in having iron-clad control over d5 is a bit confusing though."
3r2k1/1pr1bppp/p2p1n2/q3p3/4P3/P1N1BQ2/1P1R1PPP/R5K1 b - - 8 19,c7d7,Now ...d5 is looking possible again
3r2k1/1pr1bppp/p1qp4/3Pp3/1P6/P3BQ2/3R1PPP/R5K1 b - - 0 24,c6c3,"He takes a very long route before deciding to go to d5 after all. Then he recaptures in a manner that shields your backward pawn once again, so that it's actually doing a valuable service protecting e5. Better for him would have been to not invest tempo strengthening you on the c file while losing him the file he had control of but which is now blocked by his own pawn."
2r3k1/1pr1bppp/p2p4/3Pp3/1P6/P1q1BQP1/5P1P/R2R2K1 b - - 0 26,c3b3,"I like the queen here. If she's harassed, she can easily reach g6, where she still has influence on c2 for a possible rook drop."
2r3k1/1p2bppp/p2p4/3Pp3/1P4Q1/Pqr1B1P1/5PKP/R2R4 b - - 4 28,c8c4,"I'm trying to force the Queen into a passive position but intstead I chase her into my position where she becomes trouble for me. OS: yes.. this move drops your extra material and gives activity to white. g6 followed by f5 might have been interesting, making use of d6's service to e5. It locks the queen out and gains valuable space on the one side of the board that you don't currently control. If he hops in to d7 immediately, you just force him back with R3c7."
5k2/1Q2bppp/p2p4/3Pp3/qPr5/P1r1B1P1/5PKP/R2R4 w - - 1 31,d1c1,"Again I spend too much clock time looking for something better than trading off all the Rooks. OS : Are you forced to initiate the trade? I can't find anything tactical for him if you refuse, and play something like Qb5, to try to exchange off his rather dangerously placed queen."
5k2/1Q2bppp/p2p4/3Pp3/qP6/P5P1/5PKP/2B5 b - - 0 33,f7f6,It's unfortunate that your queen can't come back to defend the king without dropping your only pawn that's stopping his potential passers.
2Q5/4bkpp/p2p1p2/3Pp3/qP6/P3B1P1/5PKP/8 b - - 3 35,a4b5,"is the a3 pawn not takeable here? You're playing to prevent the penetration by the bishop on b6, but if Qxa3 Bb6, then Qxb4 and he'll lose the d5 pawn to Qe4+ if he's not careful."
8/4bkpp/3p4/p2Ppp2/P1Q5/5PP1/1q3BKP/8 b - - 1 40,b2d2,"how about Qb4? if he captures, you'll both promote and you'll be a pawn ahead with a target on d5. If he doesn't capture, he'll have to hang around protecting his a4 pawn, leaving you with the more flexible queen. Qb4 also disallows the move white chooses next."
8/4bkpp/3p4/p2Ppp2/P1Q5/5PP1/3q1BKP/8 w - - 2 41,c4b5,"The idea is of course to attack the pinned Bishop, but I don't consider my exposed King. OS: I suggest returning back to b4 with the queen. If he gangs up on a5 with Bb6, you can just return to d2 with check, and it's hard to see how white will make progress."
8/4bkpp/3p4/p2PpQ2/P7/5PP1/3q1BKP/8 b - - 0 43,e7f6,"How about Kg8? That way, he doesn't win the d6 pawn, and can't win your bishop without the help of another piece. Also, h7 is protected."
8/6pp/3Q1bk1/p2Pp3/P7/5PP1/3q1BKP/8 b - - 0 45,d2a2,"it's unfortunate that Qb4 doesn't seem good here, since double-promotion now leads to white simply walking the d pawn in for another queen."
8/3Q2pp/5b2/p2Ppk2/P7/5PP1/q4BKP/8 b - - 4 47,f5g6,"His correct plan is simply to walk the pawn. He may have been worried that you'd block him with Qe6, but that actually leads to black getting mated via Qe4+ Kg5 h4+ then either Kh5 Qxh7# or Kh6 Bd3+ Kh5 Qxh7#. If the king tries to stop it instead of the queen, then Ke7 d7+ ke7 qc8 and the bishop at the very least will drop."
8/4k1pp/5b2/p2Pp3/P3Q1P1/5P2/q4BKP/8 b - - 0 50,e7d6,"at white, I'd probably play Qxh7 here. If black takes the a4 pawn, reasoning that he'll get an easy promotion, then I go Qg8, and if his queen comes back to d7 or e8 to defend, then white's dark bishop gets involved with a lot of mating potential. If black takes d5 instead, then I just come right back to e4, comfortable that I still have a material edge (since I think the d5 pawn is falling regardless)"
8/6pp/3k1b2/p2Pp3/P3Q1P1/5PK1/q4B1P/8 b - - 2 51,a2d5,"So I win the one passed pawn, but I don't see that he can now get another."
8/6pp/8/B2kp3/P4bP1/5P2/6KP/8 b - - 2 55,d5d4,I think black is better off with Be3 to try to keep control of a7. The direct result of the game move is that the black king gets trapped in the corner warding off promotion.
8/6pp/1Bk5/P3p3/5bP1/5P2/6KP/8 b - - 2 58,c6b7,"At this point, white is essentially up a piece (his mobile king), so there's really nothing left that black can do"
rn1qkbnr/pp1bpppp/3p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,b5d7,"SC) I'm partial to a4 here as it takes the game into independent channels. 4.....Bxb5, 5.axb, while equal on the surface, injects imbalance into the position and gets far away from the book."
rn1qkbnr/pp1Bpppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 0 4,b8d7,"I'm not too clear with this opening. In retrospect, Qxd7 might've been better; I like the choice of squares for my knight a bit better. (SC) Either Nxd7 or Qxd7 is good, although I prefer Nxd7 for black. It gives me more problems when playing this opening."
